1,1,10,1
2,1,2,10
3,1,10,3
4,1,4,10
5,1,10,5
6,1,6,10
7,1,10,7
8,1,8,10
9,1,10,9
1,2,9,8
2,2,8,4
3,2,9,5
4,2,8,5
5,2,9,6
6,2,1,7
7,2,6,5
8,2,7,6
9,2,8,7
1,3,7,3
2,3,6,3
3,3,2,1
4,3,7,9
5,3,8,1
6,3,5,4
7,3,4,9
8,3,5,1
9,3,6,2
1,4,5,2
2,4,1,9
3,4,7,4
4,4,3,2
5,4,4,3
6,4,3,8
7,4,2,8
8,4,3,9
9,4,4,1
1,5,4,6
2,5,5,7
3,5,6,8
4,5,1,6
5,5,2,7
6,5,9,2
7,5,1,3
8,5,2,4
9,5,3,5
1,6,20,11
2,6,12,20
3,6,20,13
4,6,14,20
5,6,20,15
6,6,16,20
7,6,20,17
8,6,18,20
9,6,20,19
1,7,19,18
2,7,18,14
3,7,19,15
4,7,18,15
5,7,19,16
6,7,11,17
7,7,16,15
8,7,17,16
9,7,18,17
1,8,17,13
2,8,16,13
3,8,12,11
4,8,17,19
5,8,18,11
6,8,15,14
7,8,14,19
8,8,15,11
9,8,16,12
1,9,15,12
2,9,11,19
3,9,17,14
4,9,13,12
5,9,14,13
6,9,13,18
7,9,12,18
8,9,13,19
9,9,14,11
1,10,14,16
2,10,15,17
3,10,16,18
4,10,11,16
5,10,12,17
6,10,19,12
7,10,11,13
8,10,12,14
9,10,13,15
1,11,21,28
2,11,27,21
3,11,21,25
4,11,24,21
5,11,21,23
6,11,26,21
7,11,21,22
8,11,21,22
9,11,21,22
1,12,27,22
2,12,22,28
3,12,26,22
4,12,22,23
5,12,24,22
6,12,22,25
7,12,24,23
8,12,24,23
9,12,24,23
1,13,23,26
2,13,25,23
3,13,23,27
4,13,28,25
5,13,25,27
6,13,23,1
7,13,25,26
8,13,25,26
9,13,25,26
1,14,25,24
2,14,24,26
3,14,28,24
4,14,26,27
5,14,28,26
6,14,27,24
7,14,28,27
8,14,28,27
9,14,28,27
